epochs,learning_rate,batch_size,precision,recall,f1
1,2e-05,8,0.8461083160698432,0.8942758836409134,0.8695255474452555
3,2e-05,8,0.8642714570858283,0.9029298300490044,0.883177808372852
5,2e-05,8,0.8779599271402551,0.9045980606818892,0.8910799568633493
7,2e-05,8,0.8839638908611421,0.9086643728495465,0.8961439588688948
