model,epochs,learning_rate,batch_size,precision,recall,f1
PubMedBert,5,2e-05,8,0.8979028132992327,0.9151287665519758,0.9064339564184654
PubMedBert,3,2e-05,8,0.888146573539832,0.91481597330831,0.9012840267077554

